,filename,mood,positive_rate,negative_rate,verb,noun,adjective
507,NJU Documents\抖音数据分析ppt\歌词\要爱你就来 (DJ版).txt,positive,0.9901,0.0099,117,30,11
508,NJU Documents\抖音数据分析ppt\歌词\让我做你的眼睛 (弹鼓版)(DJ王雨笙版).txt,negative,0.091,0.909,69,48,16
509,NJU Documents\抖音数据分析ppt\歌词\让我做你的眼睛 (热搜版)(DJ小猫多鱼版).txt,negative,0.1974,0.8026,91,49,15
510,NJU Documents\抖音数据分析ppt\歌词\让我做你的眼睛.txt,negative,0.1974,0.8026,91,49,15
511,NJU Documents\抖音数据分析ppt\歌词\许多年以后.txt,positive,0.5053,0.4947,75,19,7
512,NJU Documents\抖音数据分析ppt\歌词\负心的你 (Live版片段).txt,negative,0.1034,0.8966,56,30,2
513,NJU Documents\抖音数据分析ppt\歌词\赤伶 (DJ69、DJ虞姬版).txt,negative,0.1293,0.8707,58,29,12
514,NJU Documents\抖音数据分析ppt\歌词\赤伶 (DJ耀仔版).txt,positive,0.6844,0.3156,93,43,12
515,NJU Documents\抖音数据分析ppt\歌词\赤伶.txt,negative,0.0317,0.9683,60,36,13
516,NJU Documents\抖音数据分析ppt\歌词\赤羚.txt,negative,0.0317,0.9683,60,36,13
517,NJU Documents\抖音数据分析ppt\歌词\走江南.txt,positive,0.9081,0.0919,55,28,8
518,NJU Documents\抖音数据分析ppt\歌词\走着走着花就开了.txt,positive,0.9747,0.0253,74,38,8
519,NJU Documents\抖音数据分析ppt\歌词\超级喜欢你.txt,negative,0.1191,0.8809,110,43,16
520,NJU Documents\抖音数据分析ppt\歌词\越南大鼓神节奏 (DJ版).txt,positive,0.8287,0.1712,3,2,0
521,NJU Documents\抖音数据分析ppt\歌词\轻快.txt,positive,0.5678,0.4321,0,0,0
522,NJU Documents\抖音数据分析ppt\歌词\远帆.txt,negative,0.2454,0.7546,21,20,9
523,NJU Documents\抖音数据分析ppt\歌词\追梦人.txt,positive,0.9878,0.0122,51,36,7
524,NJU Documents\抖音数据分析ppt\歌词\通天大道宽又阔.txt,negative,0.0567,0.9433,40,23,12
525,NJU Documents\抖音数据分析ppt\歌词\遇见.txt,positive,0.9693,0.0307,50,21,9
526,NJU Documents\抖音数据分析ppt\歌词\遥远的你 (片段).txt,positive,0.83,0.17,45,21,7
527,NJU Documents\抖音数据分析ppt\歌词\遥远的你.txt,negative,0.1588,0.8412,66,20,13
528,NJU Documents\抖音数据分析ppt\歌词\那些你很冒险的梦 (片段).txt,negative,0.0496,0.9504,18,7,2
529,NJU Documents\抖音数据分析ppt\歌词\那时正好 (女生版).txt,positive,0.9874,0.0126,57,39,3
530,NJU Documents\抖音数据分析ppt\歌词\那时正好.txt,positive,0.9898,0.0102,50,29,2
531,NJU Documents\抖音数据分析ppt\歌词\酒吧气氛土嗨.txt,negative,0.5,0.5,0,0,0
532,NJU Documents\抖音数据分析ppt\歌词\酒梦.txt,negative,0.2229,0.7771,47,48,7
533,NJU Documents\抖音数据分析ppt\歌词\酒醉的蝴蝶 (DJ版).txt,negative,0.1648,0.8352,68,37,6
534,NJU Documents\抖音数据分析ppt\歌词\酒醉的蝴蝶.txt,negative,0.1759,0.8241,49,32,5
535,NJU Documents\抖音数据分析ppt\歌词\重庆婆婆做腊肉.txt,positive,0.9932,0.0067,4,2,1
536,NJU Documents\抖音数据分析ppt\歌词\野孩子.txt,negative,0.1413,0.8587,80,32,11
537,NJU Documents\抖音数据分析ppt\歌词\野狼disco (粤语版片段).txt,positive,0.7627,0.2373,156,82,21
538,NJU Documents\抖音数据分析ppt\歌词\野狼disco.txt,positive,0.7627,0.2373,156,82,21
539,NJU Documents\抖音数据分析ppt\歌词\错失风雅.txt,positive,0.9467,0.0533,66,35,19
540,NJU Documents\抖音数据分析ppt\歌词\阳光彩虹小白马.txt,positive,0.9756,0.0244,118,31,62
541,NJU Documents\抖音数据分析ppt\歌词\阳光总在风雨后.txt,positive,0.9953,0.0047,58,35,4
542,NJU Documents\抖音数据分析ppt\歌词\阿果吉曲.txt,positive,0.949,0.051,41,21,15
543,"NJU Documents\抖音数据分析ppt\歌词\阿米尔汗又火了!配上雷军的《Are you ok》,太魔性了!.txt",positive,0.6036,0.3963,0,0,1
544,NJU Documents\抖音数据分析ppt\歌词\陷阱.txt,negative,0.0207,0.9793,53,20,9
545,NJU Documents\抖音数据分析ppt\歌词\雪见·落入凡尘.txt,positive,0.9932,0.0067,4,2,1
546,NJU Documents\抖音数据分析ppt\歌词\零几年听的情歌 (片段).txt,positive,0.8077,0.1923,88,33,24
547,NJU Documents\抖音数据分析ppt\歌词\震撼你心 (DJ版).txt,positive,0.8287,0.1712,3,2,0
548,NJU Documents\抖音数据分析ppt\歌词\震撼你心.txt,positive,0.8287,0.1712,3,2,0
549,NJU Documents\抖音数据分析ppt\歌词\青春里不知疲倦的向往.txt,positive,0.9899,0.0101,70,38,30
550,NJU Documents\抖音数据分析ppt\歌词\非酋.txt,negative,0.01,0.99,82,40,23
551,NJU Documents\抖音数据分析ppt\歌词\风情万种.txt,positive,0.9859,0.0141,25,52,18
552,NJU Documents\抖音数据分析ppt\歌词\风的季节.txt,positive,0.7285,0.2715,74,22,2
553,NJU Documents\抖音数据分析ppt\歌词\风筝误.txt,positive,0.6035,0.3965,41,35,6
554,NJU Documents\抖音数据分析ppt\歌词\馬鹿ふたり.txt,positive,0.9932,0.0067,4,2,1
555,NJU Documents\抖音数据分析ppt\歌词\鬼火の童・鬼切、虎徹にございます!.txt,positive,0.9932,0.0067,4,2,1
556,NJU Documents\抖音数据分析ppt\歌词\鬼迷心窍.txt,positive,0.8263,0.1737,62,23,12
557,NJU Documents\抖音数据分析ppt\歌词\魔动闪霸：对手(live).txt,positive,0.599,0.401,48,28,6
558,NJU Documents\抖音数据分析ppt\歌词\魔法城堡.txt,positive,0.9607,0.0393,89,79,25
559,NJU Documents\抖音数据分析ppt\歌词\鸿运当头.txt,positive,0.9966,0.0034,36,19,5
560,NJU Documents\抖音数据分析ppt\歌词\黄梅戏.txt,positive,0.9843,0.0157,58,47,4
561,NJU Documents\抖音数据分析ppt\歌词\黄莺.txt,positive,0.9917,0.0083,37,22,8
562,NJU Documents\抖音数据分析ppt\歌词\黯 (伴奏).txt,positive,0.9932,0.0067,4,2,1
563,NJU Documents\抖音数据分析ppt\歌词\그런 연애 (那样的恋爱).txt,positive,0.8720,0.1279,1,1,0
564,NJU Documents\抖音数据分析ppt\歌词\금요병.txt,negative,0.3819,0.6180,1,1,0
565,NJU Documents\抖音数据分析ppt\歌词\다시 너를 (再次见到你).txt,negative,0.0534,0.9466,56,47,5
566,NJU Documents\抖音数据分析ppt\歌词\동거 (同居).txt,positive,0.7340,0.2659,1,0,0
567,NJU Documents\抖音数据分析ppt\歌词\동거.txt,positive,0.7340,0.2659,1,0,0
568,NJU Documents\抖音数据分析ppt\歌词\빙고.txt,negative,0.0969,0.9030,2,2,0
569,NJU Documents\抖音数据分析ppt\歌词\상어를 사랑한 인어 (爱上鲨鱼的人鱼).txt,positive,0.7063,0.2936,1,2,0
570,NJU Documents\抖音数据分析ppt\歌词\여행 .txt,positive,0.5963,0.4036,2,2,0
571,NJU Documents\抖音数据分析ppt\歌词\집에 가지마 (不要回家).txt,positive,0.7514,0.2485,2,1,0
572,NJU Documents\抖音数据分析ppt\歌词\집에 가지마.txt,positive,0.9546,0.0453,1,1,0
573,NJU Documents\抖音数据分析ppt\歌词\팔레트.txt,positive,0.9836,0.0164,33,24,2
